,SiteId,CompanyName,StreetNameAndNumber,PostalCode,Country,ID_Eurostat,Subsector_Name,Latitude,Longitude,NUTS1ID,NUTS3ID,H2-Potential in TWh,ProcessInfo,geometry
243,244,Mayr-Melnhof Gernsbach GmbH,Obertsroter Straße 9 ,76593,DE,3,Paper and printing,48.746475,8.34568,DE1,DE124,0.0498,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0238 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.026 </td>
 </table>
",POINT (8.34568 48.746475)
244,245,Propapier PM 2 GmbH,Oderlandstrasse 110 ,15890,DE,3,Paper and printing,52.142681,14.649353,DE4,DE40C,0.6525,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1162 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.4647 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0716 </td>
 </table>
",POINT (14.649353 52.142681)
245,246,Sprick GmbH Bielefelder Papier- u. Wellpappenwerke,Orpethaler Str. 26 ,34474,DE,3,Paper and printing,51.505234,8.976375,DE7,DE736,0.0705,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0313 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0179 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0134 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0079 </td>
 </table>
",POINT (8.976375000000001 51.505234)
246,247,Smurfit Kappa C.D. Haupt Papier- und Pappenfabrik GmbH,Orpethaler Str. 50 ,34474,DE,3,Paper and printing,51.506282,8.9794,DE7,DE736,0.2439,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.2056 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0089 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0294 </td>
 </table>
",POINT (8.9794 51.506282)
247,248,Neenah Gessner GmbH,Otto-von-Steinbeis-Str. 14 ,83052,DE,3,Paper and printing,47.880114,11.895465,DE2,DE21K,0.1072,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1072 </td>
 </table>
",POINT (11.895465 47.880114)
248,249,Gebr. Hoffsümmer Spezialpapier GmbH Co. KG,Papiermühle 52-58 ,52349,DE,3,Paper and printing,50.799813,6.454175,DEA,DEA26,0.0599,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0599 </td>
 </table>
",POINT (6.454175 50.799813)
249,250,Stora Enso Uetersen GmbH,Pinnau Allee 3 ,25436,DE,3,Paper and printing,53.685161,9.669827,DEF,DEF09,0.0447,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0447 </td>
 </table>
",POINT (9.669827 53.685161)
250,251,Stora Enso Uetersen GmbH,Pinnau Allee 3 ,25436,DE,3,Paper and printing,53.685161,9.669827,DEF,DEF09,0.2301,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0045 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0089 </td>
 <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.2167 </td>
 </table>
",POINT (9.669827 53.685161)
251,252,Pucaro Elektro-Isolierstoffe GmbH,Pucarostrasse 1 ,74255,DE,3,Paper and printing,49.362481,9.343665,DE1,DE118,0.2144,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1072 </td>
 <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1072 </td>
 </table>
",POINT (9.343665 49.362481)
252,253,Cordier Spezialpapier GmbH,Rheinstr.38 ,64367,DE,3,Paper and printing,49.463294,8.170506,DEB,DEB3C,0.0167,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0036 </td>
 <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0131 </td>
 </table>
",POINT (8.170506 49.463294)
253,254,Spezialpapierfabrik Oberschmitten GmbH,Rhönstrasse 13 ,63667,DE,3,Paper and printing,50.445422,9.03348,DE7,DE71E,0.0112,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0112 </td>
 </table>
",POINT (9.033480000000001 50.445422)
254,255,Papierwerke Lenk AG,Richard-Lenk-Str. 19-23 ,77876,DE,3,Paper and printing,48.596218,8.115736,DE1,DE134,0.0368,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0357 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0011 </td>
 </table>
",POINT (8.115736 48.596218)
255,256,Hamburger Rieger GmbH,Riegerstr. 4,83308,DE,3,Paper and printing,48.023145,12.541613,DE2,DE21M,0.1471,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.1287 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0184 </td>
 </table>
",POINT (12.541613 48.023145)
256,257,Texon Möckmühl GmbH,Roigheimer Strasse 69-72 ,74219,DE,3,Paper and printing,49.327659,9.353696,DE1,DE118,0.0134,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0134 </td>
 </table>
",POINT (9.353695999999999 49.327659)
257,258,Wepa Hygieneprodukte GmbH,Rönkhauser Str. 26 ,59757,DE,3,Paper and printing,51.409287,7.9925,DEA,DEA57,0.0883,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Tissue paper</td> <td>6.9</td> <td>0.0566 </td>
 <tr> <td nowrap>Tissue paper</td> <td>6.9</td> <td>0.0239 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0078 </td>
 </table>
",POINT (7.9925 51.409287)
258,259,Baiersbronn Frischfaser Karton GmbH,Sägmühleweg 18 ,72270,DE,3,Paper and printing,48.497131,8.374716,DE1,DE12C,0.0715,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0715 </td>
 </table>
",POINT (8.374715999999999 48.497131)
259,260,DELIPAPIER GmbH,Schönfelder Strasse 1 ,39596,DE,3,Paper and printing,52.674454,12.003502,DEE,DEE0D,0.1291,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0536 </td>
 <tr> <td nowrap>Tissue paper</td> <td>6.9</td> <td>0.0755 </td>
 </table>
",POINT (12.003502 52.674454)
260,261,Munksjö Dettingen GmbH,Schwalbenstadt 1 ,72581,DE,3,Paper and printing,48.515906,9.361831,DE1,DE141,0.0708,"<table class=""tooltip-table"">
 <tr> <th>Process</th> <th nowrap>SEC [GJ/t]</th> <th nowrap>H2-Potential [TWh]</th> </tr> <tr> <td nowrap>Board & packaging paper</td> <td>4.9</td> <td>0.0179 </td>
 <tr> <td nowrap>Graphic paper</td> <td>7.2</td> <td>0.0525 </td>
 <tr> <td nowrap>Recovered fibers</td> <td>0.5</td> <td>0.0004 </td>
 </table>
",POINT (9.361831 48.515906)
