name,bus,carrier,x,y
Schmiechen_110kV,Schmiechen_110kV,AC,9.73,48.37
Laichingen_110kV,Laichingen_110kV,AC,9.69,48.49
Ehingen_110kV,Ehingen_110kV,AC,9.66,48.29
SoflingenUlm_110kV,SoflingenUlm_110kV,AC,9.95,48.39
UlmOst_110kV,UlmOst_110kV,AC,9.98,48.4
Dornstadt_110kV,Dornstadt_110kV,AC,9.94,48.47
Wendlingen_110kV,Wendlingen_110kV,AC,9.38,48.67
Mohringen_110kV,Mohringen_110kV,AC,9.15,48.72
Sindelfingen_110kV,Sindelfingen_110kV,AC,9,48.71
Stuttgart_110kV,Stuttgart_110kV,AC,9.18,48.77
Muhlhausen_110kV,Muhlhausen_110kV,AC,9.22,48.84
Neckarwestheim_110kV,Neckarwestheim_110kV,AC,9.19,49.04
Altbach_110kV,Altbach_110kV,AC,9.38,48.72
Endersbach_110kV,Endersbach_110kV,AC,9.36,48.81
Donautal_110kV,Donautal_110kV,AC,9.94,48.37
Ravensburg_110kV,Ravensburg_110kV,AC,9.61,47.78
Nurtingen_110kV,Nurtingen_110kV,AC,9.35,48.62
Amstetten_110kV,Amstetten_110kV,AC,9.87,48.58
Geislingen_110kV,Geislingen_110kV,AC,9.83,48.62
Kirchheim_110kV,Kirchheim_110kV,AC,9.45,48.64
Herrenberg_110kV,Herrenberg_110kV,AC,8.87,48.59
Ludwigsburg_110kV,Ludwigsburg_110kV,AC,9.19,48.89
Kornwestheim_110kV,Kornwestheim_110kV,AC,9.19,48.87
Hopfingen_110kV,Hopfingen_110kV,AC,9.43,49.6
Adelsheim_110kV,Adelsheim_110kV,AC,9.39,49.4
Kupferzell_110kV,Kupferzell_110kV,AC,9.69,49.22
Goldshofe_110kV,Goldshofe_110kV,AC,10.1,48.89
Rotensohl_110kV,Rotensohl_110kV,AC,10.23,48.75
Niederstotzingen_110kV,Niederstotzingen_110kV,AC,10.24,48.54
Gaildorf_110kV,Gaildorf_110kV,AC,9.77,48.99
Pfahlbronn_110kV,Pfahlbronn_110kV,AC,9.68,48.84
Winnenden_110kV,Winnenden_110kV,AC,9.4,48.88
Aalen_110kV,Aalen_110kV,AC,10.09,48.84
Giengen_110kV,Giengen_110kV,AC,10.23,48.62
Oberkochen_110kV,Oberkochen_110kV,AC,10.1,48.78
HeidelburgSud_110kV,HeidelburgSud_110kV,AC,8.67,49.4
